Code/Ref,License holder,Company_Name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area  (Km2),Area_km2_cl,Location  (Region),License_location_cl,Coordinates of the license area
0089/2014,"Pyi Htaung Su Thar 
Co., Ltd","Pyi Htaung Su Thar Co., Ltd",Small scale,Small,2014-03-04T00:00:00Z,2014-03-04,2016-03-03T00:00:00Z,2016-03-03,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-257
0108/2014,"Moehti Moemi Collective
Small Scale Gold 
Production
Entrepreneurs Co., Ltd","Moehti Moemi Collective Small Scale Gold Production Entrepreneurs Co., Ltd",Small scale,Small,2014-03-26T00:00:00Z,2014-03-26,2016-03-25T00:00:00Z,2016-03-25,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-258
0109/2014,"Moehti Moemi Collective
Small Scale Gold 
Production
Entrepreneurs Co., Ltd","Moehti Moemi Collective Small Scale Gold Production Entrepreneurs Co., Ltd",Small scale,Small,2014-03-26T00:00:00Z,2014-03-26,2016-03-25T00:00:00Z,2016-03-25,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-259
0110/2014,"Moehti Moemi Collective
Small Scale Gold 
Production
Entrepreneurs Co., Ltd","Moehti Moemi Collective Small Scale Gold Production Entrepreneurs Co., Ltd",Small scale,Small,2014-03-26T00:00:00Z,2014-03-26,2016-03-25T00:00:00Z,2016-03-25,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-260
0111/2014,"Moehti Moemi Collective
Small Scale Gold 
Production
Entrepreneurs Co., Ltd","Moehti Moemi Collective Small Scale Gold Production Entrepreneurs Co., Ltd",Small scale,Small,2014-03-26T00:00:00Z,2014-03-26,2016-03-25T00:00:00Z,2016-03-25,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-261
0112/2014,"Moehti Moemi Collective
Small Scale Gold 
Production
Entrepreneurs Co., Ltd","Moehti Moemi Collective Small Scale Gold Production Entrepreneurs Co., Ltd",Small scale,Small,2014-03-26T00:00:00Z,2014-03-26,2016-03-25T00:00:00Z,2016-03-25,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-262
0163/2014,"Ruby Dragon Mining 
Co.,Ltd.","Ruby Dragon Mining Co.,Ltd.",Small scale,Small,2014-05-28T00:00:00Z,2014-05-28,2015-05-27T00:00:00Z,2015-05-27,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-263
0164/2014,"Ruby Dragon Mining 
Co.,Ltd.","Ruby Dragon Mining Co.,Ltd.",Small scale,Small,2014-05-28T00:00:00Z,2014-05-28,2015-05-27T00:00:00Z,2015-05-27,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-264
0165/2014,"Ruby Dragon Mining 
Co.,Ltd.","Ruby Dragon Mining Co.,Ltd.",Small scale,Small,2014-05-28T00:00:00Z,2014-05-28,2015-05-27T00:00:00Z,2015-05-27,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-265
0166/2014,"Ruby Dragon Mining 
Co.,Ltd.","Ruby Dragon Mining Co.,Ltd.",Small scale,Small,2014-05-28T00:00:00Z,2014-05-28,2015-05-27T00:00:00Z,2015-05-27,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-266
0167/2014,"Ruby Dragon Mining 
Co.,Ltd.","Ruby Dragon Mining Co.,Ltd.",Small scale,Small,2014-05-28T00:00:00Z,2014-05-28,2015-05-27T00:00:00Z,2015-05-27,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-267
0168/2014,"Ruby Dragon Mining 
Co.,Ltd.","Ruby Dragon Mining Co.,Ltd.",Small scale,Small,2014-05-28T00:00:00Z,2014-05-28,2015-05-27T00:00:00Z,2015-05-27,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-268
0169/2014,"Ruby Dragon Mining 
Co.,Ltd.","Ruby Dragon Mining Co.,Ltd.",Small scale,Small,2014-05-28T00:00:00Z,2014-05-28,2015-05-27T00:00:00Z,2015-05-27,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-269
0170/2014,"Ruby Dragon Mining 
Co.,Ltd.","Ruby Dragon Mining Co.,Ltd.",Small scale,Small,2014-05-28T00:00:00Z,2014-05-28,2015-05-27T00:00:00Z,2015-05-27,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-270
0253/2014,"Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2014-09-24T00:00:00Z,2014-09-24,2015-09-23T00:00:00Z,2015-09-23,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-271
0254/2014,"Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2014-09-24T00:00:00Z,2014-09-24,2015-09-23T00:00:00Z,2015-09-23,Gold,Gold,16.0,16.0,War Phu Taung,War Phu Taung,YMT-272
0023/2015,"Myanmar Shwe Pyi Hein 
Co., Ltd.","Myanmar Shwe Pyi Hein Co., Ltd.",Small scale,Small,2015-01-21T00:00:00Z,2015-01-21,2016-01-20T00:00:00Z,2016-01-20,Gold,Gold,20.0,20.0,Hlae Lan Kuu,Hlae Lan Kuu,KTM-48
0145/2012,"Shwe Gar Kyi Co.,Ltd","Shwe Gar Kyi Co.,Ltd",Small scale,Small,2012-08-20T00:00:00Z,2012-08-20,2015-08-19T00:00:00Z,2015-08-19,Gold,Gold,20.0,20.0,Pyan Ka Toe,Pyan Ka Toe,KTM-37
0103/2013,"Tun Hein Hylan Co., Ltd.","Tun Hein Hylan Co., Ltd.",Small scale,Small,2013-03-12T00:00:00Z,2013-03-12,2016-03-11T00:00:00Z,2016-03-11,Gold,Gold,20,20,Inn Ka Po,Inn Ka Po,KTM-43
0150/2008,"Shwe Ninn Hmone Co.,Ltd","Shwe Ninn Hmone Co.,Ltd",Small scale,Small,2008-07-03T00:00:00Z,2008-07-03,2015-07-02T00:00:00Z,2015-07-02,Gold,Gold,20.0,20.0,Pan Kaing,Pan Kaing,SNKK-2
0230/2010,"Myanmar Ruby 
Interprise Gems & 
Jewellery Co., Ltd.","Myanmar Ruby Interprise Gems & Jewellery Co., Ltd.",Small scale,Small,2010-04-09T00:00:00Z,2010-04-09,2015-04-08T00:00:00Z,2015-04-08,Gold,Gold,20.0,20.0,Ran Bo,Ran Bo,SNMB-1
0231/2010,"Myanmar Ruby 
Interprise Gems & 
Jewellery Co., Ltd.","Myanmar Ruby Interprise Gems & Jewellery Co., Ltd.",Small scale,Small,2010-04-09T00:00:00Z,2010-04-09,2015-04-08T00:00:00Z,2015-04-08,Gold,Gold,20.0,20.0,Ran Bo,Ran Bo,SNMB-2
0329/2009,"Red Moundain 
Production Co.,Ltd","Red Moundain Production Co.,Ltd",Small scale,Small,2009-12-29T00:00:00Z,2009-12-29,2015-12-28T00:00:00Z,2015-12-28,Gold,Gold,20.0,20.0,Mway Pyan,Mway Pyan,SSNTY-21
0330/2009,"Red Moundain 
Production Co.,Ltd","Red Moundain Production Co.,Ltd",Small scale,Small,2009-12-29T00:00:00Z,2009-12-29,2015-12-28T00:00:00Z,2015-12-28,Gold,Gold,20.0,20.0,Mway Pyan,Mway Pyan,SSNTY-22
0173/2013,"Ngwe Taung Min  
Co., Ltd","Ngwe Taung Min Co., Ltd",Small scale,Small,2013-08-30T00:00:00Z,2013-08-30,2015-08-29T00:00:00Z,2015-08-29,Gold,Gold,20.0,20.0,Nar Yaung,Nar Yaung,SETCL-13
0085/2013,"Phyaungt Phyu Pyaw Shwin Co., Ltd","Phyaungt Phyu Pyaw Shwin Co., Ltd",Small scale,Small,2013-03-07T00:00:00Z,2013-03-07,2016-03-06T00:00:00Z,2016-03-06,Gold,Gold,20.0,20.0,Mine Koe,Mine Koe,SETCL-14
0069/2013,"Shwe Nadi Myat Mining Co.,Ltd","Shwe Nadi Myat Mining Co.,Ltd",Small scale,Small,2013-03-07T00:00:00Z,2013-03-07,2016-03-06T00:00:00Z,2016-03-06,Gold,Gold,20.0,20.0,Mine Koe,Mine Koe,SETCL-15
0108/2012,"Lin Hlyan Htet 
Mining Co., Ltd","Lin Hlyan Htet Mining Co., Ltd",Small scale,Small,2012-05-22T00:00:00Z,2012-05-22,2015-05-21T00:00:00Z,2015-05-21,Gold,Gold,20.0,20.0,nar yaung,nar yaung,SETCL-12
0122/2013,"Lin Hlyan Htet 
Mining Co., Ltd","Lin Hlyan Htet Mining Co., Ltd",Small scale,Small,2013-06-11T00:00:00Z,2013-06-11,2015-06-10T00:00:00Z,2015-06-10,Gold,Gold,20.0,20.0,Nar Yaung,Nar Yaung,SETCL-19
0117/2013,"Aung Woon Nay Co.,Ltd","Aung Woon Nay Co.,Ltd",Small scale,Small,2013-06-19T00:00:00Z,2013-06-19,2015-06-18T00:00:00Z,2015-06-18,Gold,Gold,20.0,20.0,Nar Yaung,Nar Yaung,SETCL-20
0118/2013,"Aung Woon Nay Co.,Ltd","Aung Woon Nay Co.,Ltd",Small scale,Small,2013-06-19T00:00:00Z,2013-06-19,2015-06-18T00:00:00Z,2015-06-18,Gold,Gold,20.0,20.0,Nar Yaung,Nar Yaung,SETCL-21
0034/2014,"LaHu Brothers 
Mining Co.,Ltd","LaHu Brothers Mining Co.,Ltd",Small scale,Small,2014-01-15T00:00:00Z,2014-01-15,2016-01-14T00:00:00Z,2016-01-14,Gold,Gold,20.0,20.0,Nar Yaung,Nar Yaung,SETCL-25
0049/2014,"Shwe Kyaing Tone Co.,Ltd","Shwe Kyaing Tone Co.,Ltd",Small scale,Small,2015-01-28T00:00:00Z,2015-01-28,2016-01-27T00:00:00Z,2016-01-27,Gold,Gold,20.0,20.0,Mine Koe,Mine Koe,SETCL-23
0048/2014,"Ngwe Taung Min  
Co., Ltd","Ngwe Taung Min Co., Ltd",Small scale,Small,2015-01-28T00:00:00Z,2015-01-28,2016-01-27T00:00:00Z,2016-01-27,Gold,Gold,20.0,20.0,Mine Koe,Mine Koe,SETCL-24
0079/2014,"Sai Agreculture 
Investment Co., Ltd","Sai Agreculture Investment Co., Ltd",Small scale,Small,2014-03-04T00:00:00Z,2014-03-04,2015-03-03T00:00:00Z,2015-03-03,Gold,Gold,20.0,20.0,Nar Yaung,Nar Yaung,SETCL-29
0080/2014,"Sai Agreculture 
Investment Co., Ltd","Sai Agreculture Investment Co., Ltd",Small scale,Small,2014-03-04T00:00:00Z,2014-03-04,2015-03-03T00:00:00Z,2015-03-03,Gold,Gold,20.0,20.0,Nar Yaung,Nar Yaung,SETCL-30
0289/2014,"Lin Hlyan Htet Mining 
Co., Ltd","Lin Hlyan Htet Mining Co., Ltd",Small scale,Small,2014-12-10T00:00:00Z,2014-12-10,2015-12-09T00:00:00Z,2015-12-09,Gold,Gold,20.0,20.0,Nar Yaung,Nar Yaung,SETCL-31
0282/2014,"Taing Chit Min Co.,Ltd","Taing Chit Min Co.,Ltd",Small scale,Small,2014-11-26T00:00:00Z,2014-11-26,2015-11-25T00:00:00Z,2015-11-25,Gold,Gold,16.5,16.5,Mine Koe,Mine Koe,SETCL-32
0283/2014,"Taing Chit Min Co.,Ltd","Taing Chit Min Co.,Ltd",Small scale,Small,2014-11-26T00:00:00Z,2014-11-26,2015-11-25T00:00:00Z,2015-11-25,Gold,Gold,20.0,20.0,Mine Koe,Mine Koe,SETCL-33
0306/2014,"Wai Tel Mining Co., Ltd.","Wai Tel Mining Co., Ltd.",Small scale,Small,2014-12-30T00:00:00Z,2014-12-30,2015-12-30T00:00:00Z,2015-12-30,Gold,Gold,20.0,20.0,Nar Yaung,Nar Yaung,SETCL-34
0308/2014,"Tarchilate Rock Stone 
Co.,Ltd","Tarchilate Rock Stone Co.,Ltd",Small scale,Small,2014-12-30T00:00:00Z,2014-12-30,2015-12-30T00:00:00Z,2015-12-30,Gold,Gold,20.0,20.0,Mine Koe,Mine Koe,SETCL-35
0309/2014,"Tarchilate Rock Stone 
Co.,Ltd","Tarchilate Rock Stone Co.,Ltd",Small scale,Small,2014-12-10T00:00:00Z,2014-12-10,2015-12-09T00:00:00Z,2015-12-09,Gold,Gold,20.0,20.0,Mine Koe,Mine Koe,SETCL-36
0027/2015,"Shwe Htoo San Co.,Ltd","Shwe Htoo San Co.,Ltd",Small scale,Small,2015-01-28T00:00:00Z,2015-01-28,2016-01-27T00:00:00Z,2016-01-27,Gold,Gold,15.6,15.6,nant khain,nant khain,SETCL-37
0053/2015,"Myint Oo Aung Co., Ltd.","Myint Oo Aung Co., Ltd.",Small scale,Small,2015-02-04T00:00:00Z,2015-02-04,2016-02-03T00:00:00Z,2016-02-03,Gold,Gold,20.0,20.0,Nar Yaung,Nar Yaung,SETCL-40
0073/2015,"Hein Mytta Co., Ltd.","Hein Mytta Co., Ltd.",Small scale,Small,2015-03-12T00:00:00Z,2015-03-12,2016-03-11T00:00:00Z,2016-03-11,Gold,Gold,20.0,20.0,Nant Khain,Nant Khain,SETCL-43
0074/2015,"Hein Mytta Co., Ltd.","Hein Mytta Co., Ltd.",Small scale,Small,2015-03-12T00:00:00Z,2015-03-12,2016-03-11T00:00:00Z,2016-03-11,Gold,Gold,20.0,20.0,Nant Khain,Nant Khain,SETCL-44
0071/2015,"Mega Banner Co., Ltd.","Mega Banner Co., Ltd.",Small scale,Small,2015-03-12T00:00:00Z,2015-03-12,2016-03-11T00:00:00Z,2016-03-11,Gold,Gold,20.0,20.0,Nant Khain,Nant Khain,SETCL-41
0072/2015,"Mega Banner Co., Ltd.","Mega Banner Co., Ltd.",Small scale,Small,2015-03-12T00:00:00Z,2015-03-12,2016-03-11T00:00:00Z,2016-03-11,Gold,Gold,20.0,20.0,Nant Khain,Nant Khain,SETCL-42
0211/2011,"Hein Kaung Sat 
Mining Co., Ltd.","Hein Kaung Sat Mining Co., Ltd.",Small scale,Small,2011-02-25T00:00:00Z,2011-02-25,2016-02-24T00:00:00Z,2016-02-24,Gold,Gold,20.0,20.0,Tar Kyant,Tar Kyant,SEMU-2
