Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,PSC ratio,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Location_state_cl
0202/2014,"Laoi Mine Kan Co.,Ltd","Laoi Mine Kan Co.,Ltd",production,Production,32.8:67.2,2.7.2014,2014-07-02,1.7.2017,2017-07-01,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.2,0.2,Shan (S) State,Shan
0203/2014,"Laoi Mine Kan Co.,Ltd","Laoi Mine Kan Co.,Ltd",production,Production,32.8:67.2,2.7.2014,2014-07-02,1.7.2017,2017-07-01,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.2,0.2,Shan (S) State,Shan
0080/2015,"Sea Sun Star Mining Production & Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",production,Production,50:50,25.3.2015,2015-03-25,24.3.2017,2017-03-24,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0081/2015,"Sea Sun Star Mining Production & Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",production,Production,50:50,25.3.2015,2015-03-25,24.3.2017,2017-03-24,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0082/2015,"Sea Sun Star Mining Production & Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",production,Production,50:50,25.3.2015,2015-03-25,24.3.2017,2017-03-24,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0083/2015,"Sea Sun Star Mining Production & Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",production,Production,50:50,25.3.2015,2015-03-25,24.3.2017,2017-03-24,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0168/2013,"Sea Sun Star Mining Production & Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",production,Production,50:50,2.10.2013,2013-10-02,1.10.2016,2016-10-01,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0169/2013,"Sea Sun Star Mining Production & Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",production,Production,50:50,2.10.2013,2013-10-02,1.10.2016,2016-10-01,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0170/2013,"Sea Sun Star Mining Production & Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",production,Production,50:50,2.10.2013,2013-10-02,1.10.2016,2016-10-01,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0173/2013,"Sea Sun Star Mining Production & Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",production,Production,50:50,2.10.2013,2013-10-02,1.10.2016,2016-10-01,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0174/2013,"Sea Sun Star Mining Production & Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",production,Production,50:50,2.10.2013,2013-10-02,1.10.2016,2016-10-01,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0112/2009,"Shwe Pyae Phyo Gold & Mining Co., Ltd","Shwe Pyae Phyo Gold & Mining Co., Ltd",production,Production,50:50,17.8.2009,2009-08-17,16.8.2016,2016-08-16,Gold,Gold,0.0809,0.0809,Kachin,Kachin
