,Application_date_cl,Area_acre_cl,Area_km2_cl,Award_date_cl,Code/Ref,Commodity_cl,Company_Name_cl,Department,Expiry_date_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl,License_type_cl,Location (Region),Location_state_cl,Year
91,,230.0,,2009-08-18,0001/2009,Limestone,"Max Myanmar Gorup Co.,Ltd",DOM,2019-08-17,Lewe,TaungFelar,,Large,,Nay Pyi Taw,2014-15
92,,150.0,,2011-08-31,0048/2011,Limestone,NayPyiTaw City Development Committee,DOM,2035-08-30,Lewe,TaungFelar,,Large,,Nay Pyi Taw,2014-15
93,,585.72,,2012-03-16, 0001/2012,Marble,"SIMCO Song Da JointStock Co.,Ltd",DOM,2032-03-15,Taunggoke,Nayuputaung,,Large,,Rakhine,2014-15
94,,2105.6,,2014-07-01, 5/1999,Tin and Tungsten,"Myanmar Pongpipat Co.,Ltd",DOM,2019-06-30,Dawei,Heinda  ,,Large,,Tanintharyi,2014-15
95,,295.0,,2013-03-07, 27/1999,Tin and Tungsten,"Myanmar Tin-Tungsten Co.,Ltd",DOM,2014-11-30,Taninthayi,Thein Daw  ,,Large,,Tanintharyi,2014-15
96,,1920.0,,2000-11-01, 40/2000,Tin and Tungsten,"Ngwe Ka Ba Myanmar Co.,Ltd",DOM,2015-10-31, Pa Law,Pa Law Arman,,Large,,Tanintharyi,2014-15
97,,1654.0,,2012-02-28, 2/2002,Tin and Tungsten,"A& A Natural Resources Development Co.,Ltd",DOM,2017-02-27,Ya Phyu,Ka Lon Ta,,Large,,Tanintharyi,2014-15
98,,194.32,,2012-02-28, 6/2002,Glass Sand,"No(2)Heavy Industry,Ministry of Industry",DOM,2017-02-27,Boptepyin,Alaeman ,,Large,,Tanintharyi,2014-15
99,,2920.0,,2004-08-12, 8/2004,Tin and Tungsten,"Silver Bright Co.,Ltd",DOM,2014-08-11,Dawei,Hermyingyi  ,,Large,,Tanintharyi,2014-15
100,,2087.0,,2010-01-05, 0001/2010,Tin and Tungsten,"Delco Co,Ltd",DOM,2020-01-04,Ya Phyu,Kan Bouk,,Large,,Tanintharyi,2014-15
101,,500.0,,2010-03-26,0005/2010,Coal,"May Flower Mining Enterprise Co.,Ltd",DOM,2035-03-25,Dawel,BanChaung(1),,Large,,Tanintharyi,2014-15
102,,500.0,,2010-03-26,0006/2010,Coal,"May Flower Mining Enterprise Co.,Ltd",DOM,2035-03-25,Dawel,BanChaung(2),,Large,,Tanintharyi,2014-15
103,,500.0,,2010-03-26,0007/2010,Coal,"May Flower Mining Enterprise Co.,Ltd",DOM,2035-03-25,Dawel,BanChaung(3),,Large,,Tanintharyi,2014-15
104,,1652.0,,2012-02-01,0001/2012,Coal,"ThanPhyoThu Mining Co.,Ltd",DOM,2022-01-31,Bokepyin,Laynar,,Large,,Tanintharyi,2014-15
105,,200.0,,2012-05-30,0005/2012,Coal,"May Flower Mining Enterprise Co.,Ltd",DOM,2022-05-29,Dawel,BanChaung(4),,Large,,Tanintharyi,2014-15
106,,200.0,,2012-05-30,0006/2012,Coal,"May Flower Mining Enterprise Co.,Ltd",DOM,2022-05-29,Dawel,BanChaung(5),,Large,,Tanintharyi,2014-15
107,,200.0,,2012-05-30,0007/2012,Coal,"May Flower Mining Enterprise Co.,Ltd",DOM,2022-05-29,Dawel,BanChaung(6),,Large,,Tanintharyi,2014-15
108,,692.0,,2012-04-25,0008/2012,Tin and Tungsten,"Diamond Shark Mining Co.,Ltd",DOM,2022-04-24,Taninthayi,Lethar taung,,Large,,Tanintharyi,2014-15
109,,812.14,,2013-05-09,0004/2013,Tin and Tungsten,"Ngwe Ka Bar Myanmar Co.,Ltd",DOM,2023-05-08,KyunSu,KwelKhayan,,Large,,Tanintharyi,2014-15
110,,2880.0,,2013-09-16,0008/2013,Limestone,"24 Hour Mining & Industry Co.,Ltd",DOM,2023-09-15,Tanintharyi,              A Yu Chaung Phyar,,Large,,Tanintharyi,2014-15
111,,403.93,,2015-01-12,0002/2015,Tin and Tungsten,"Mining World Mining Co.,Ltd",DOM,2025-01-11,Dawei,PaKaryi,,Large,,Tanintharyi,2014-15
112,,3400.0,,2010-03-18,0004/2010,Coal,Myanmar Economic Corporation,DOM,2035-03-17,Miesat,MieKhuck,,Large,,Shan,2014-15
113,,70.23,,2012-12-23,14/2000,Coal,"Triple""A""Cement International Co.,Ltd",DOM,2015-04-06,Hsipaw,Samlaung,,Large,,Shan,2014-15
114,,78.78,,2000-06-01,17/2000,Gypsum,Myanamar Economic Corporation,DOM,2025-05-31,HSipaw,ManKaung,,Large,,Shan,2014-15
115,,1831.0,,2004-03-31, 2/2004,Coal,"UE Export & Import Co.,Ltd",DOM,2019-03-30,Hsipaw,MaKhaw,,Large,,Shan,2014-15
116,,9495.6,,2009-12-31, 0006/2010,Lead and Zinc Concentrates,"Win Myint Mo Industries Co.,Ltd",DOM,2024-12-30,Namtu,Numtu-Bawdwin,,Large,,Shan,2014-15
117,,2479.33,,2010-05-01,0009/2010,Lead Concentrates,"Linpyae Mining Co.,Ltd",DOM,2020-04-30,NaungCho,Doepin Tract,,Large,,Shan,2014-15
118,,2796.75,,2010-08-31,0013/2010,Coal,"NgweYi Palae Mining Co.,Ltd",DOM,2020-08-30,Hsipaw,Numma,,Large,,Shan,2014-15
119,,992.38,,2011-01-18,0004/2011,Quartz,"Green Strategic Mining Co.,Ltd",DOM,2021-01-17,Kutkhaing,MantMie,,Large,,Shan,2014-15
120,,1004.0,,2011-02-04,0018/2011,Bauxite,Yaung Investment Group,DOM,2021-02-03,NaungCho,LongWai,,Large,,Shan,2014-15
121,,148.2,,2011-02-15,0019/2011,Coal,"Mie Htat Co.,Ltd",DOM,2021-02-14,TankYang,Manpan-Monema,,Large,,Shan,2014-15
122,,42.23,,2011-02-15,0020/2011,Coal,"Mie Htat Co.,Ltd",DOM,2021-02-14,Lashio,Narhlyan,,Large,,Shan,2014-15
123,,200.0,,2011-02-16,0021/2011,Coal,"NgweYi Palae Mining Co.,Ltd",DOM,2021-02-15,Lashio,Harput,,Large,,Shan,2014-15
124,,980.0,,2011-03-08,0028/2011,Bauxite,"NgweYi Palae Mining Co.,Ltd",DOM,2021-03-07,kyaukme,BankBwekyin,,Large,,Shan,2014-15
125,,450.0,,2011-03-08,0030/2011,Limestone,"NgweYi Palae Mining Co.,Ltd",DOM,2021-03-07,Naung Cho,LongYone,,Large,,Shan,2014-15
126,,465.0,,2011-03-30,0039/2011,Coal,"NgweYi Palae Mining Co.,Ltd",DOM,2021-03-29,TankYang,NgarNgwe,,Large,,Shan,2014-15
127,,150.0,,2011-03-30,0038/2011,Gypsum,"NgweYi Palae Mining Co.,Ltd",DOM,2021-03-29,Hsipaw,Ywar thit,,Large,,Shan,2014-15
128,,150.0,,2011-10-20,0049/2011,Coal,"NgweYi Palae Mining Co.,Ltd",DOM,2021-10-19,Lashio,MinePar,,Large,,Shan,2014-15
129,,549.05,,2010-05-07,0043/2011,Coal,"Directorate of Military office of Chief of Defence Defence Industries, Ministy of Defence",DOM,2035-05-06,Lashio,NanMa,,Large,,Shan,2014-15
130,,153.92,,2013-01-01,0001/2013,Gypsum,"First Resource Co,.Ltd",DOM,2023-12-31,Hsipaw,Khar Lai,,Large,,Shan,2014-15
131,,453.99,,2014-04-02, 0002/2014,Coal,"Htun Kywe Paw Co.,Ltd",DOM,2024-04-01,Kyauk Me,Hein Sink,,Large,,Shan,2014-15
132,,150.0,,2015-02-04,0003/2015,Gypsum,"Triple""A""Cement International Co.,Ltd",DOM,2025-02-03,Hsipaw,KwinPyin,,Large,,Shan,2014-15
133,,282.62,,1999-08-24,16/1999,Limestone,"Dragon Cement Co.,Ltd",DOM,2019-08-23,PingLaung,LonePyin,,Large,,Shan,2014-15
134,,1977.0,,1999-10-12,20/1999,Zinc,Cornerstone Resources Myanmar Co.,DOM,2019-10-11,Mong Pawn,Long chain,,Large,,Shan,2014-15
135,,544.0,,2003-03-11, 2/2013,Coal,Eden Energy and Natural Resources Development,DOM,2023-03-10,Pinlong,Tekyit,,Large,,Shan,2014-15
136,,1756.19,,2005-01-20, 3/2005,Gypsum,"No(3)Heavy Industry,Ministry of Industry",DOM,2025-01-19,Moukmel,Namlut,,Large,,Shan,2014-15
137,,418.0,,2010-07-01,0012/2010,Lead,"Top Ten Star Co.,Ltd",DOM,2020-06-30,Kalawa ,Bawsai,,Large,,Shan,2014-15
138,,2180.0,,2011-03-08,0029/2011,Coal,"NgweYi Palae Mining Co.,Ltd",DOM,2021-03-07,Bawsai,KaungPonChaung,,Large,,Shan,2014-15
139,,642.06,,2011-03-25,0033/2011,Limestone,"KBZ Industries Co.,Lte",DOM,2021-03-24,Taunggyi,PengPet,,Large,,Shan,2014-15
140,,6726.2,,2011-12-03,0002/2012,Gold,"GEO Asia Industry & Mining Co.,Ltd",DOM,2016-12-02,Kalaw,ShweMinBone,,Large,,Shan,2014-15
141,,150.0,,2012-09-14,0012/2012,Baryte,"SanPya Industries Co.,Ltd",DOM,2022-09-13,YwaNgam,DoteHtoeYae,,Large,,Shan,2014-15
142,,101.42,,2013-01-01,0002/2013,Baryte,"United Masterprise Co,.Ltd",DOM,2023-12-31,Kalaw,Bawsai,,Large,,Shan,2014-15
143,,495.0,,2014-01-22,0001/2014,Lead,GPS Jointventure Company,DOM,2029-01-22,Kalaw,Bawsai,,Large,,Shan,2014-15
144,,350.0,,2014-02-28,0001/2014,Coal,"Dragon Cement Co.,Ltd",DOM,2024-02-27,NamSan,KyukYaLai,,Large,,Shan,2014-15
145,,63.0,,2015-02-11,0004/2015,Limestone,"Triple""A""Cement International Co.,Ltd",DOM,2025-02-10,YwaNgam,KaNyuntTaung,,Large,,Shan,2014-15
146,,250.0,,2014-12-30,0014/2014,Gypsum,"KBZ Industries Co.,Lte",DOM,2024-12-30,Moukmel,Namlut,,Large,,Shan,2014-15
147,,0.20032,,2014-06-27,0142/2008,Lead and Zinc,"Myanmar Apex(Panwa) Mining Co.,Ltd",DOM,2015-06-26,Chipway,PanWa,,Small,,Kachin,2014-15
148,,0.2003,,2014-06-27,0143/2008,Lead and Zinc,"Myanmar Apex(Panwa) Mining Co.,Ltd",DOM,2015-06-26,Chipway,PanWa,,Small,,Kachin,2014-15
149,,0.2003,,2014-06-27,0144/2008,Lead and Zinc,"Myanmar Apex(Panwa) Mining Co.,Ltd",DOM,2015-06-26,Chipway,PanWa,,Small,,Kachin,2014-15
150,,0.2003,,2014-08-04,0484/2010,Lead and Zinc,"San Linn International Export & Import Co.,Ltd",DOM,2015-08-03,Chipway,femaw,,Small,,Kachin,2014-15
