Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area  (Km2),Area_km2_cl,Location  (Region),License_location_cl,Coordinates of the license area
0029/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-194
0030/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,18,18,Own Zone,Own Zone,TPK-195
0031/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-196
0033/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,18,18,Own Zone,Own Zone,TPK-200
0034/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-201
0035/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-202
0036/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-203
0037/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-205
0038/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-207
0039/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-208
0040/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-209
0041/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-210
0042/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-211
0043/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-212
0044/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-213
0045/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-214
0166/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-08-12,2015-08-12,2016-08-11,2016-08-11,Gold,Gold,13.43,13.43,Own Zone,Own Zone,TPK-218
0167/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-08-12,2015-08-12,2016-08-11,2016-08-11,Gold,Gold,7.28,7.28,Own Zone,Own Zone,TPK-219
0168/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-08-12,2015-08-12,2016-08-11,2016-08-11,Gold,Gold,7.99,7.99,Own Zone,Own Zone,TPK-220
0031/2016,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2016-03-09,2016-03-09,2017-03-08,2017-03-08,Gold,Gold,20,20,Own Zone,Own Zone,TPK-198
0032/2016,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2016-03-09,2016-03-09,2017-03-08,2017-03-08,Gold,Gold,20,20,Own Zone,Own Zone,TPK-199
0033/2016,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2016-03-09,2016-03-09,2017-03-08,2017-03-08,Gold,Gold,20,20,Own Zone,Own Zone,TPK-204
0034/2016,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2016-03-09,2016-03-09,2017-03-08,2017-03-08,Gold,Gold,20,20,Own Zone,Own Zone,TPK-206
0035/2016,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2016-03-09,2016-03-09,2017-03-08,2017-03-08,Gold,Gold,20,20,Own Zone,Own Zone,TPK-215
0096/2015,"Gold Winner 
Association Co.,Ltd","Gold Winner Association Co.,Ltd",Small scale,Small,2015-04-29,2015-04-29,2017-04-28,2017-04-28,Gold,Gold,20,20,Own Zone,Own Zone,TPK-216
0097/2015,"Gold Winner 
Association Co.,Ltd","Gold Winner Association Co.,Ltd",Small scale,Small,2015-04-29,2015-04-29,2017-04-28,2017-04-28,Gold,Gold,20,20,Wa phu taung,Wa phu taung,TPK-217
0106/2015,"Myanmar Geo Land 
Co., Ltd.","Myanmar Geo Land Co., Ltd.",Small scale,Small,2015-05-13,2015-05-13,2016-05-12,2016-05-12,Gold,Gold,20,20,"(7)mile, Chan Thar","(7)mile, Chan Thar",TPK-187
0134/2015,"Shwe Moe San Eain 
Co.,Ltd","Shwe Moe San Eain Co.,Ltd",Small scale,Small,2015-06-24,2015-06-24,2016-06-23,2016-06-23,Gold,Gold,20,20,"(7)mile, Chan Thar","(7)mile, Chan Thar",TPK-192
0158/2015,"Win Win Htein 
Mining Co.,Ltd","Win Win Htein Mining Co.,Ltd",Small scale,Small,2015-07-29,2015-07-29,2016-07-28,2016-07-28,Gold,Gold,10,10,(7)mile,(7)mile,TPK-176
0216/2015,"Wai Lin Hteik Co.,Ltd","Wai Lin Hteik Co.,Ltd",Small scale,Small,2015-11-11,2015-11-11,2016-11-10,2016-11-10,Gold,Gold,20,20,Own Zone,Own Zone,TPK-221
0008/2016,"United Power 
Resources Co., Ltd","United Power Resources Co., Ltd",Small scale,Small,2016-01-20,2016-01-20,2017-01-19,2017-01-19,Gold,Gold,20,20,Own Zone,Own Zone,TPK-222
0190/2014,"Yadanar Moe Myay 
Mining Co., Ltd","Yadanar Moe Myay Mining Co., Ltd",Small scale,Small,2014-06-06,2014-06-06,2016-06-05,2016-06-05,Gold,Gold,17.78,17.78,Nat Taung,Nat Taung,SGU-236
0191/2014,"Yadanar Moe Myay 
Mining Co., Ltd","Yadanar Moe Myay Mining Co., Ltd",Small scale,Small,2014-06-06,2014-06-06,2016-06-05,2016-06-05,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-237
0192/2014,"Yadanar Moe Myay 
Mining Co., Ltd","Yadanar Moe Myay Mining Co., Ltd",Small scale,Small,2014-06-06,2014-06-06,2016-06-05,2016-06-05,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-238
0036/2009,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Kan Taung,Kan Taung,SGU-2A
0302/2009,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Kyi Taut Pauk,Kyi Taut Pauk,SGU-2B
0305/2009,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Kyi Taut Pauk,Kyi Taut Pauk,SGU-5A
0306/2009,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Kyi Taut Pauk,Kyi Taut Pauk,SGU-5B
0227/2015,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2015-12-10,2015-12-10,2016-12-09,2016-12-09,Gold,Gold,20,20,Kan Taung,Kan Taung,SGU-9A
0228/2015,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2015-12-10,2015-12-10,2016-12-09,2016-12-09,Gold,Gold,20,20,Kan Taung,Kan Taung,SGU-9B
