License_location_cl,Commodity_cl,Location_state_cl,License_type_cl,MIC Permit,Period from,Period To,Company Status (Active/ Pending),License_location_code_1_cl,Award_date_cl,Expiry_date_cl,Company,Company_Name_cl
EP-2,Oil and Gas,Onshore,Exploration,480/2012,2012,2018,Active,AungLan,2012-01-01,2018-01-01,"-PTTEP South Asia Ltd.-70%
-Win Precious Resources Pte Ltd.-10%
- Palang Sophon Offshore Pte. Ltd. (PSO) - 10%
- MOECO -10%
",PTTEP South Asia Ltd.
EP-5,Oil and Gas,Onshore,Exploration,481/2012,2012,2018,Active,"Inbin-
Tegyigon",2012-01-01,2018-01-01,"-IsTech Energy EP5 Pte.   Ltd. - 95%
-Smart Technical Services  Ltd.-5%",IsTech Energy EP5 Pte. Ltd.
PSC-E,Oil and Gas,Onshore,Exploration,479/2012,2012,2018,Active,Myingyan,2012-01-01,2018-01-01,"-Asia Orient 
 International Ltd.-85%
 (CJs Oc ""Nobel Oil"")
-A' Lister Services Co., Ltd.-15%","Asia Orient 
 International Ltd."
PSC-K,Oil and Gas,Onshore,Exploration,762/2014,2014,2021,Active,Yamethin,2014-01-01,2021-01-01,"-Eni Myanmar B.V.-90%
-Myanmar Petroleum Exploration and        Production Co., Ltd.-10%",Eni Myanmar B.V.
RSF-5,Oil and Gas,Onshore,Exploration,763/2014,2014,2021,Active,Ondwe,2014-01-01,2021-01-01,"-Eni Myanmar B.V.-90%
-Myanmar Petroleum Exploration and        Production Co., Ltd.-10%",Eni Myanmar B.V.
IOR-4,Oil and Gas,Onshore,Exploration,791/2014,2014,2021,Active,Pyau,2014-01-01,2021-01-01,"-MPRL E&P Pte. Ltd-80%
-Myanmar Petroleum  
 Exploration & 
 Production Co., Ltd.20%",MPRL E&P Pte. Ltd
IOR-6,Oil and Gas,Onshore,Exploration,792/2014,2014,2021,Active,MyanAung,2014-01-01,2021-01-01,"-MPRL E&P Pte. Ltd-80%
-Myanmar Petroleum  
 Exploration & 
 Production Co., Ltd.20%",MPRL E&P Pte. Ltd
MOGE-3,Oil and Gas,Onshore,Exploration,764/2014,2014,2021,Active,"Padaukpin-
Natmi",2014-01-01,2021-01-01,"-PTTEP South Asia Ltd.-75% 
-Palang Sophon Offshore   Pte. Ltd -10%
-Win Precious Resources   Pte. Ltd.-10%
-MOECOAsiaMG3Pte.Ltd.5%",PTTEP South Asia Ltd.
B-2,Oil and Gas,Onshore,Exploration,784/2014,2014,2021,Active,"Zepyutaung-
Nandaw",2014-01-01,2021-01-01,"-ONGC Videsh Ltd. -97%
-Machinery and Solutions   Co., Ltd.-3%",ONGC Videsh Ltd.
EP-3,Oil and Gas,Onshore,Exploration,785/2014,2014,2021,Active,"Thegon-
Shwegu",2014-01-01,2021-01-01,"-ONGC Videsh Ltd. -97%
-Machinery and Solutions   Co., Ltd.-3%",ONGC Videsh Ltd.
EP-4,Oil and Gas,Onshore,Exploration,790/2014,2014,2021,Active,Mayaman,2014-01-01,2021-01-01,"-Bashneft International B.V.75%
-Sun Apex Holdings Ltd.25%",Bashneft International B.V.75%
PSC C-1,Oil and Gas,Onshore,Preparation,787/2014,2014,2021,Active,Yenan-Indaw,2014-01-01,2021-01-01,"-Pacific Hunt Energy Corporation - 75%
-Young Investment Group Co. Ltd.- 25%",Pacific Hunt Energy Corporation
PCS-H,Oil and Gas,Onshore,Preparation,788/2014,2014,2021,Active,"Taungoo-
PyinMaNa",2014-01-01,2021-01-01,"-Pacific Hunt Energy Corporation - 75%
-Young Investment Group Co. Ltd.- 25%",Pacific Hunt Energy Corporation
IOR-5,Oil and Gas,Onshore,Exploration,797/2014,2014,2021,Active,Htantabin,2014-01-01,2021-01-01,"-Petronas Carigali Myanmar Inc.- 67.25%
-UNOG Pte Ltd. - 12.75%
- Brunei National Petroleum Co., Sdn.Bhd. (PB Myanmar Pte. Ltd.)- 20%",Petronas Carigali Myanmar Inc.
IOR-7,Oil and Gas,Onshore,Exploration,793/2014,2014,2021,Active,Shwepyitha,2014-01-01,2021-01-01,"-Petronas Carigali Myanmar Inc.- 82.25%
-UNOG Pte Ltd. - 12.75%
- Brunei National Petroleum Co., Sdn.Bhd. (PB Myanmar Pte. Ltd.)- 5%",Petronas Carigali Myanmar Inc.
EP-1,Oil and Gas,Onshore,Exploration,786/2014,2014,2021,Active,"Kyaukkyi-
Mindon",2014-01-01,2021-01-01,"-Brunei National Petroleum Co., Sdn.Bhd. 
(PB Myanmar Co., Ltd.)-43.625%
-IGE Pte. Ltd. - 12.75%
-Petronas Carigali Myanmar Inc.- 43.625%","Brunei National Petroleum Co., Sdn.Bhd. 
(PB Myanmar Co., Ltd.)"
MOGE-4,Oil and Gas,Onshore,Exploration,789/2014,2014,2021,Active,Myintha,2014-01-01,2021-01-01,"-CAOG S.a' r. l
(CAOG Pte. Ltd.)- 94.5%
-Apex Geo Services Co.,  Ltd.5.5%","CAOG S.a' r. l
(CAOG Pte. Ltd.)"
