Code/Ref,Company_Name_cl,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,Location_working 4,Coordinates of the license area,Column 10
 0011/2014,"Htut Kaung Kyaw Mining Co.,Ltd",Large,17.12.2014,2014-01-17,16.12.2024,2024-12-16,Coal,Coal,4.04197,4.04197,"Sagaing,Mawlite,Kwinpin",Sagaing,Mawlite,Kwinpin,,"85 I/6(836310,855310, 855300, 857300,857290,853290,853285, 836285)",
0013/2014,"Htoo Han Thit Mining Co.,Ltd",Large,24.12.2014,2014-01-24,23.12.2024,2024-12-23,Coal,Coal,0.38648,0.38648,"Sagaing,Kalay Wa,Kyatpfatnat Chaung",Sagaing,Kalay Wa,Kyatpfatnat Chaung,,"84 I /2+3+6+7(752077,752071, 749063, 746064,750076,751075) (742063,746062,745060,742061)",
 0008/2015,"Sein Lae Wai Co.,Ltd",Large,1.4.2015,2015-01-01,31.3.2025,2025-03-31,Coal,Coal,0.40469,0.40469,"Sagaing,Kalay Wa,Manpharlay",Sagaing,Kalay Wa,Manpharlay,,"84I/6+7(780056,790056,790053,780053)",
 0006/2015,"Htoo Han Thit Mining Co.,Ltd",Large,25.3.2015,2015-01-25,24.3.2025,2025-03-24,Coal,Coal,0.40469,0.40469,"Sagaing,Kalay,Moemaka",Sagaing,Kalay,Moemaka,,"84I/6+7 (755059,760059,760050, 753050, 753053,755053)",
0018/2015,Myanmar Economic Holding Limited,Large,22.7.2015,2015-01-22,23.2.2025,2025-02-23,Coal,Coal,20.9035,20.9035,"Sagaing,Kalay, KyautOn Chaung",Sagaing,Kalay, KyautOn Chaung,,"84I/4&84I/6(785660,782601,736601,727660)",
 5/1999,"Myanmar Pongpipat Co.,Ltd",Large,"1.7.1999
1.7.2014",1999-01-01,"30.6.2014
30.6.2019",2019-06-30,Tin & Tungsten ,Tin and Tungsten,8.52125,8.52125,"Taninthayi,Kalay,Henda",Tanintharyi,Kalay,Henda,,"95J/8(443626,457625,454627, 453640, 46040, 459644,463648, 463570,459671, 457668, 458660, 455653,448654,444658,438658, 437659, 427659, 424652,433632, 443627)",
27/1999,"Myanmar Tin & Tungsten Co.,Ltd",Large,"1.7.1999
1.7.2014",1999-01-01,"30.6.2014
30.6.2019",2019-06-30,Tin & Tungsten ,Tin and Tungsten,1.19385,1.19385,"Taninthayi, Taninthayi,Henda",Tanintharyi, Taninthayi,Henda,,"95P/3(227464,237465,245462, 246458, 237462, 231462,242436, 240427, 238427, 240436,236444, 234449,230457)",
40/2000,"Ngwe Kabar Myanmar Co.,Ltd",Large,"1.7.1999
1.7.2014",1999-01-01,"30.6.2014
30.6.2019",2019-06-30,Tin & Tungsten ,Tin and Tungsten,7.77013,7.77013,"Taninthayi,PuLaw,Henda",Tanintharyi,PuLaw,Henda,,"95L/13(792243,808233,816248,802257)",
 2/2002,ANA,Large,"28.2.2002
28.2.2012",2002-01-28,"27.2.2012
27.2.2017",2017-02-27,Tin & Tungsten ,Tin and Tungsten,6.69365,6.69365,"Taninthayi,Yaephyu,Kalonehtar",Tanintharyi,Yaephyu,Kalonehtar,,"95J/7(250850,275850,275880, 305880)",
 8/2004,"Ngwe Htun Taug Co.,Ltd",Large,"12.8.2004
12.8.2014",2004-01-12,"11.8.2014
11.8.2019",2019-08-11,Tin & Tungsten ,Tin and Tungsten,11.8171,11.8171,"Taninthayi,Dawei,HarMyingyi",Tanintharyi,Dawei,HarMyingyi,,"95J/7(327790,325779,324778, 323764, 336762, 338754,346752, 357755,344763, 345764,342780, 343783,342790)",
 0001/2010,DALCO,Large,5.1.2010,2010-01-05,4.1.2020,2020-01-04,Tin & Tungsten ,Tin and Tungsten,8.44597,8.44597,"Taninthayi,Yaephyu, Kanpouk",Tanintharyi,Yaephyu, Kanpouk,,95F/14+95J/2,
 0008/2012,"Sein Ngar Man Mining Co.,Ltd",Large,25.4.2012,2012-01-25,24.4.2022,2022-04-24,Tin & Tungsten ,Tin and Tungsten,2.80049,2.80049,"Taninthayi,Taninthayi,laytarTaung",Tanintharyi,Taninthayi,laytarTaung,,"95L/16+P/4(058355,059355, 059328, 063323, 061322, 060323, 059320, 055318,056317, 064322, 067317, 058310,048322,048342)",
 0004/2013,"Ngwe Kabar Myanmar Co.,Ltd",Large,9.5.2013,2013-01-09,8.5.2023,2023-05-08,Tin & Tungsten ,Tin and Tungsten,3.28669,3.28669,"Taninthayi,KyunSu,Kwal kayan",Tanintharyi,KyunSu,Kwal kayan,,"95L/11(737390,745390,745384,737384)",
 0002/2015,"Mining World Co.,Ltd",Large,12.1.2015,2015-01-12,11.1.2025,2025-01-11,Tin & Tungsten ,Tin and Tungsten,1.63468,1.63468,"Taninthayi,Dawei, Pakarye",Tanintharyi,Dawei, Pakarye,,"95J/8(297603,297607,305607, 302602, 309600,309590,300590, 293590)",
 0008/2013,24 Hours Mining,Large,16.9.2013,2013-01-16,15.9.2023,2023-09-15,Limestone,Limestone,11.6552,11.6552,"Taninthayi,Taninthayi, Thein Kwin",Tanintharyi,Taninthayi, Thein Kwin,,"96M/2+6(350645,360645,360600, 350600, 350545, 340545,340615, 350615) (322652,327652,327653, 322635) (325530,332530,332504, 325504)",
 6/2002,"No.(2)Heavy Industry, Ministry of Industry",Large,"28.2.2002
28.2.2012",2002-01-28,"27.2.2012
27.2.2027",2027-02-27,Glass Sand,Glass Sand,0.7864,0.7864,"Taninthayi,Botepyine,Alawlman Kwint",Tanintharyi,Botepyine,Alawlman Kwint,,96I/11(502224),
