Code/Ref,Company_Name_cl,License_type_cl,Date of application,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,location_working 4,Coordinates of the license area,Column 11
 0051/2011,"National Prosperity Co.,Ltd",Large,,2011-09-16T00:00:00Z,2011-09-16,2036-09-15T00:00:00Z,2036-09-15,Gold,Gold,6105,6105,"Mandalay,Yamathin,Moedimomei",Mandalay,Yamathin,Moedimomei,,93 D/7,
 0052/2011,"Shwe Moe Yan Co.,Ltd",Large,,2011-09-16T00:00:00Z,2011-09-16,2036-09-15T00:00:00Z,2036-09-15,Gold,Gold,8485,8485,"Mandalay,Yamathin,Moedimomei",Mandalay,Yamathin,Moedimomei,,93 D/7,
 0014/2012,"No(1)Heavy Industry,Ministry of Industry",Large,,2012-12-01T00:00:00Z,2012-12-01,2022-11-30T00:00:00Z,2022-11-30, Limestone,Limestone,29.5,29.5,"Mandalay,Thar Si,",Mandalay,Thar Si,,,"93 s/4+8( 574879, 765879, 769875, 755860, 744868)",
 003/2013,"Mandalay Cement Industry Co.,Ltd",Large,,2013-05-09T00:00:00Z,2013-05-09,2023-05-08T00:00:00Z,2023-05-08, Limestone,Limestone,148,148,"Mandalay,Kyautse' ,SinTap Taung",Mandalay,Kyautse' ,SinTap Taung,,"93 C/6(802090,800093 , 807100,810097, 810090)",
 0002/2014,"Shwe Pouk Pouk Mining Co.,ltd",Large,,2014-03-20T00:00:00Z,2014-03-20,2024-03-19T00:00:00Z,2024-03-19,Coal,Coal,359,359,"Mandalay,Thar Si,KyatSakahn",Mandalay,Thar Si,KyatSakahn,,"93 D/5+9(005295,020295, 020285, 005285,004288,006289)",
 0003/2014,"Shwe Pouk Pouk Mining Co.,ltd",Large,,2014-03-20T00:00:00Z,2014-03-20,2024-03-19T00:00:00Z,2024-03-19,Coal,Coal,136,136,"Mandalay,Thar Si,KyatSakahn",Mandalay,Thar Si,KyatSakahn,,"93 D/5+9(018238,018240, 025227, 020224, 018236)",
 0005/2014,"Max Myanmar Industry Co;.,Ltd",Large,,2014-04-09T00:00:00Z,2014-04-09,2024-04-08T00:00:00Z,2024-04-08,Limestone,Limestone,927,927,"Mandalay,Thar Si,Pyinnaung",Mandalay,Thar Si,Pyinnaung,,"93 D/5( 920190,935190, 935160,920160)",
0007/2014,"Shwe Pouk Pouk Mining Co.,ltd",Large,,2014-11-21T00:00:00Z,2014-11-21,2014-11-20T00:00:00Z,2014-11-20,Coal,Coal,223,223,"Mandalay,Thar Si,KyatSakahn",Mandalay,Thar Si,KyatSakahn,,"93 D/5+9( 002295,005295, 006289,004288)       (018238,018236, 020224,020218,016217,  016219, 011230)",
 0008/2014,"ThukhaPanThu Mining Co.,Ltd",Large,,2014-11-26T00:00:00Z,2014-11-26,2024-11-25T00:00:00Z,2024-11-25,Coal,Coal,232,232,"Mandalay,Thar Si,KyatSakahn",Mandalay,Thar Si,KyatSakahn,,"93 D/5(990292,992295, 995289, 993288 ) (988288,991288,992278,989278,988280) (989278,992278,994270,991270) (994258,998259,996256,996253,995253) (998248,999248,000245,998245) (006215,008215,010204,008204,003214,006214,006203,004203)",
 0010/2014,"Than Taw Myat Co.,ltd",Large,,2014-12-03T00:00:00Z,2014-12-03,2024-12-02T00:00:00Z,2024-12-02,Limestone,Limestone,130.23,130.23,"Mandalay,Kyautse' ,ThanTawMyat ",Mandalay,Kyautse' ,ThanTawMyat ,,"92 C/2+6( 745167,745172, 758174, 759172) (753177,753182,756182,756177)",
 0001/2015,"Htoo Han Thit Co.,Ltd",Large,,2015-01-07T00:00:00Z,2015-01-07,2025-01-06T00:00:00Z,2025-01-06,Marble,Marble,100,100,"Mandalay,Sinku,Ngwe Taung",Mandalay,Sinku,Ngwe Taung,,"93 B/3(586278,592278, 595265, 594265,590570,591272, 587274)",
 0029/2000,Myanma Economic Holding Ltd.,Large,,2000-07-27T00:00:00Z,2000-07-27,2020-07-26T00:00:00Z,2020-07-26,Limestone,Limestone,216,216,"Mandalay,Kyautse' ,NgwarLaikkyout",Mandalay,Kyautse' ,NgwarLaikkyout,,"93 C/6(773205,776208, 780208,784205, 785200,780196,780200,774200)",
 12/1999,Myanma Economic Holding Ltd.,Large,,1999-08-01T00:00:00Z,1999-08-01,2019-07-31T00:00:00Z,2019-07-31,Granite,Granite,413.22,413.22,"Mon,Belin ,KyoutMell taung",Mon,Belin ,KyoutMell taung,,"94G/4(640880,660880,640870,660870)",
 17/1999,Myanma Economic Holding Ltd.,Large,,1999-08-01T00:00:00Z,1999-08-01,2019-07-31T00:00:00Z,2019-07-31,Granite,Granite,480,480,"Mon, Kyaik Hto,Tinwartaung,",Mon, Kyaik Hto,Tinwartaung,,"94G/3(540100,557200,550180, 540180)",
 0016/2010,"Myanmar Might Industru Co.,Ltd",Large,,2010-10-29T00:00:00Z,2010-10-29,2020-10-28T00:00:00Z,2020-10-28,Limestone,Limestone,213.87,213.87,"Mon,Kyaikmaraw,Hnidon Taung",Mon,Kyaikmaraw,Hnidon Taung,,"94H/15(400840,403843,417819, 420882)",
 0009/2011,"June  Industrial and Mining Co.,Ltd",Large,,2015-02-01T00:00:00Z,2015-02-01,2036-01-30T00:00:00Z,2036-01-30,Limestone,Limestone,356.4,356.4,"Mon,Kyaikmaraw,Pya Taung(North)",Mon,Kyaikmaraw,Pya Taung(North),,"94H/15(429841,434841,429822,428823,430825, 429826,431833,429834,430835,428838)",
 0032/2011,Pacific Link Cement Industries Ltd,Large,,2011-03-16T00:00:00Z,2011-03-16,2036-03-15T00:00:00Z,2036-03-15,Limestone,Limestone,320,320,"Mon,Kyaikmaraw,Pya Taung",Mon,Kyaikmaraw,Pya Taung,,"94H/15S(433822,444822,445819, 444817, 451814,450813,446814, 445815,439816, 439815,436816, 435813,437810, 436806, 442806, 441803,436803,433803,434811, 432811,427807,425809,427811, 432811)",
 0040/2011,"Famar Pho Yazar Mining Co.,Ltd",Large,,2011-03-30T00:00:00Z,2011-03-30,2021-03-29T00:00:00Z,2021-03-29,Limestone,Limestone,210,210,"Mon,Kyaikmaraw,AhtoranTaung",Mon,Kyaikmaraw,AhtoranTaung,,"94H/16(661615,658613,657612, 653612, 650613,650603,652604, 654603,656603, 656606,657607, 659607,661609)",
 19/1999,"No(2)Heavy Industry,Ministry of Industry",Large,,1/8/19999,1999-01-08,2019-07-31T00:00:00Z,2019-07-31,Limestone,Limestone,3840,3840,"Ayeyarwaddy  ,Kyan Khinn, Htonetaung, ",Ayeyarwady,Kyan Khinn, Htonetaung, ,"85Q/4(160400,160430,120400, 120430)",
 19/1999,"No(2)Heavy Industry,Ministry of Industry",Large,,2000-11-15T00:00:00Z,2000-11-15,2020-11-14T00:00:00Z,2020-11-14,Limestone,Limestone,100,100,"Ayeyarwaddy ,Kyan Khinn,Htonetaung,",Ayeyarwady,Kyan Khinn,Htonetaung,,"85Q/4(120410,120440,090410, 090440)",
 3/2003,"No(2)Heavy Industry,Ministry of Industry",Large,,2003-07-11T00:00:00Z,2003-07-11,2023-07-10T00:00:00Z,2023-07-10,Glass Sand,Glass Sand,34.44,34.44,"Ayeyarwaddy,Ngaputaw,SinKuugyi",Ayeyarwady,Ngaputaw,SinKuugyi,, 95L/11T(570870) ,
 1/2002,"KMPC Co.,Ltd",Large,,2014-02-28T00:00:00Z,2014-02-28,2019-02-27T00:00:00Z,2019-02-27,Tin/Tungsten Mixed,Tin and Tungsten,7024,7024,"Kayar,PharSoung,Mawchi Mine",Kayah,PharSoung,Mawchi Mine,,"94F/1(683884,694850,695832,710828,715800, 745796,760806, 760841,743843,735856, 728852, 707884)",
 28/2000,May Flower Mining Enterprise Ltd,Large,,2010-08-11T00:00:00Z,2010-08-11,2015-08-10T00:00:00Z,2015-08-10,Zinc,Zinc,32257.74,32257.74,"Kayin,Myawaddy,Mawkel WalLay",Kayin,Myawaddy,Mawkel WalLay,,"94 L/16QT (725700, 600700, 600550,660550)",
 8/2001,Myanma Economic   Corporation,Large,,2001-07-30T00:00:00Z,2001-07-30,2026-07-29T00:00:00Z,2026-07-29,Limestone,Limestone,252.6,252.6,"Kayin,Pha-An ,Thandie taung",Kayin,Pha-An ,Thandie taung,,"94G/15(486979,490979,490970, 481970, 481975, 486975)",
 9/2001,"No(2)Heavy Industry, Ministry of Industry",Large,,2001-07-30T00:00:00Z,2001-07-30,2026-07-29T00:00:00Z,2026-07-29,Iron,Iron,281.16,281.16,"Kayin,Pha-An ,MarMee Taung",Kayin,Pha-An ,MarMee Taung,,94H/9(216478),
 10/2001,"No(2)Heavy Industry,  Ministry of Industry",Large,,2001-07-30T00:00:00Z,2001-07-30,2026-07-29T00:00:00Z,2026-07-29,Clay,Clay,39.62,39.62,"Kayin,Pha-An ,No(1)Clay",Kayin,Pha-An ,No(1)Clay,,94H/9(205470),
 11/2001,"No(2)Heavy Industry,Ministry of Industry",Large,,2001-07-30T00:00:00Z,2001-07-30,2026-07-29T00:00:00Z,2026-07-29,Clay,Clay,87.26,87.26,"Kayin,Pha-An ,No(2)Clay",Kayin,Pha-An ,No(2)Clay,,94H/9(201443),
 12/2001,"Tha Byu Mining Co.,Ltd",Large,,2011-12-12T00:00:00Z,2011-12-12,2016-12-11T00:00:00Z,2016-12-11,Antimony,Antimony,3960,3960,"Kayin,Kyarinsekgyi,Thabyu",Kayin,Kyarinsekgyi,Thabyu,,"95i/6(133920, 150920, 150890, 190850, 150850,133860)",
0002/2010,"Silver Lion Mining Co.,Ltd",Large,,2010-01-20T00:00:00Z,2010-01-20,2020-01-19T00:00:00Z,2020-01-19,Granite,Granite,43,43,"Kayin,Pha-An ,KyattikeKwin",Kayin,Pha-An ,KyattikeKwin,,"94a/12(104061,102056,108058, 108060)",
 0041/2011,"United Cement Co.,Ltd",Large,,2011-03-30T00:00:00Z,2011-03-30,2021-03-29T00:00:00Z,2021-03-29,Limestone,Limestone,189+1410,1599,"Kayin,Pha-An ,Kyawpyin and Mikayin ",Kayin,Pha-An ,Kyawpyin and Mikayin ,,"94h/9(213574,215574,221556, 226560, 226558, 216558,215563, 212568) 94g/12(154648,174634, 180620,192620, 196605,194604, 190609,180610, 175626, 158630, 156626,150626,150635,154637)",
