Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Location_state_cl,Location (Township),License_location_cl,Location (Detail),License_location_code_1_cl,Coordinates of the license area
Production 0014/2013,"Peace Green World Co., Ltd,","Peace Green World Co., Ltd,",Small  Scale,Small,19.6.2013,2013-06-19,18.6.2016,2016-06-18,Coal,Coal,0.745,0.745,Magwe ,Magway,Min Hla,Min Hla,Ngae Taung Tan,Ngae Taung Tan,85 I/9
Production 0015/2013,"Galaxy Myanmar Co., Ltd.","Galaxy Myanmar Co., Ltd.",Small  Scale,Small,3.7.2013,2013-07-03,2.7.2016,2016-07-02,Coal,Coal,0.408,0.408,Magwe ,Magway,Min Hla,Min Hla,Kantoke,Kantoke,85 I /9
Production 0016/2013,"Manadaly Gold Friend Mining Co., Ltd.","Manadaly Gold Friend Mining Co., Ltd.",Small  Scale,Small,3.7.2014,2014-07-03,2.7.2016,2016-07-02,Coal,Coal,0.716,0.716,Sagaing,Sagaing,Kalewa,Kalewa,Pluzawa,Pluzawa,84 I / 7 
Production 0002/2013,"Kyauk Saung Ni Production  Co., Ltd.","Kyauk Saung Ni Production Co., Ltd.",Small  Scale,Small,5.12.2012,2012-12-05,4.12.2015,2015-12-04,Manganese Dioxide,Manganese Dioxide,0.2,0.2,Shan,Shan,Tachileik,Tachileik,Arr Ye,Arr Ye,94 P/14
Production 0020/2014,"Malwin Group Mining Co., Ltd.","Malwin Group Mining Co., Ltd.",Small  Scale,Small,13.2.2014,2014-02-13,12.2.2017,2017-02-12,Coal,Coal,,,Magwe ,Magway,Min Hla,Min Hla,YeKyaw,YeKyaw,85 I /10
Production 0021/2014,"Han Htet Industrial  Co., Ltd.","Han Htet Industrial Co., Ltd.",Small  Scale,Small,13.2.2014,2014-02-13,12.2.2017,2017-02-12,Coal,Coal,0.667,0.667,Magwe,Magway,Min Bu,Min Bu,Phayar,Phayar,84 L/8 & 12
Production 023/2013,"Pyaegaday Product Distribution Co.,Ltd.","Pyaegaday Product Distribution Co.,Ltd.",Small  Scale,Small,22.10.2013,2013-10-22,21.10.2016,2016-10-21,Magnesite,Magnesite,0.056,0.056,Sagaing,Sagaing,Yin Mar Pin ,Yin Mar Pin,Mount Thayat,Mount Thayat,84 J/16
Production 021/2013,Aung Ceramic Tiles Industries Co.Ltd.,Aung Ceramic Tiles Industries Co.Ltd.,Small  Scale,Small,30.12.2013,2013-12-30,29.12.2018,2018-12-29,Dolomite,Dolomite,0.043,0.043,Shan (South),Shan,Kalaw ,Kalaw,Kyae Kone,Kyae Kone,93  CD/10
Production 0035/2014,"Metal Matter Co., Ltd.","Metal Matter Co., Ltd.",Small  Scale,Small,6.6.2014,2014-06-06,5.6.2017,2017-06-05,Coal,Coal,0.202,0.202,Magawe,Magway,Saku ,Saku,Padaung,Padaung,84 L/12 
Production 0065/2014,"Saint Nay Min Co., Ltd.","Saint Nay Min Co., Ltd.",Small  Scale,Small,24.12.2014,2014-12-24,23.12.2019,2019-12-23,Coal,Coal,0.313,0.313,Magwe ,Magway,Min Hla,Min Hla,Kantoke,Kantoke,85 I/9
Production 0063/2014,"Million Golden Co., Ltd.","Million Golden Co., Ltd.",Small  Scale,Small,17.12.2014,2014-12-17,16.12.2015,2015-12-16,Coal,Coal,0.343,0.343,Magwe ,Magway,Min Hla,Min Hla,Sappyar,Sappyar,85 I /9
Production 0064/2014,"Million Golden Co., Ltd.","Million Golden Co., Ltd.",Small  Scale,Small,17.12.2014,2014-12-17,16.12.2015,2015-12-16,Coal,Coal,0.343,0.343,Magwe ,Magway,Min Hla,Min Hla,Sappyar,Sappyar,85 I /9
Production 0048/2014,"Lady Myint and Sons Industrial Co., Ltd.","Lady Myint and Sons Industrial Co., Ltd.",Small  Scale,Small,26.11.2014,2014-11-26,25.11.2019,2019-11-25,Gypsum,Gypsum,0.396,0.396,Kayin,Kayin,Hlaine Bwe,Hlaine Bwe,Htee Kahaw,Htee Kahaw,94 G /15
Production 0049/2014,"Lady Myint and Sons Industrial Co., Ltd.","Lady Myint and Sons Industrial Co., Ltd.",Small  Scale,Small,26.11.2014,2014-11-26,25.11.2019,2019-11-25,Gypsum,Gypsum,0.396,0.396,Kayin,Kayin,Hlaine Bwe,Hlaine Bwe,Htee Kahaw,Htee Kahaw,94 G /15
Production 0044/2014,"Yin Myo Sat Co., ","Yin Myo Sat Co.,",Small  Scale,Small,12.11.2014,2014-11-12,11.11.2019,2019-11-11,Lime Stone(Decorative),Decorative Limestone,0.064,0.064,Mon,Mon,KyakMayaw,KyakMayaw,Kwat Kalut ,Kwat Kalut,94 GH/11&15
Production 0019/2014,"Mya Tharawun Co., Ltd.","Mya Tharawun Co., Ltd.",Small  Scale,Small,5.2.2014,2014-02-05,4.2.2017,2017-02-04,Marbel (Decorative),Decorative Marble,0.032,0.032,Mandalay,Mandalay,Maddyar,Maddyar,Mya Thar Taung and ,Mya Thar Taung and,93 B/3
Production 0040/2014,"Chit  Linn Mying  Co., Ltd.","Chit Linn Mying Co., Ltd.",Small  Scale,Small,10.9.2014,2014-09-10,9.9.2019,2019-09-09,Gypsum,Gypsum,0.388,0.388,Kayin,Kayin,Hlaine Bwe,Hlaine Bwe,Kho Bie,Kho Bie,94 J/16
Production 0041/2014,"Chit  Linn Mying  Co., Ltd.","Chit Linn Mying Co., Ltd.",Small  Scale,Small,10.9.2014,2014-09-10,9.9.2019,2019-09-09,Gypsum,Gypsum,0.388,0.388,Kayin,Kayin,Hlaine Bwe,Hlaine Bwe,Kho Bie,Kho Bie,94 J/16
