Application_date_cl,Area_acre_cl,Area_km2_cl,Award_date_cl,Code/Ref,Commodity_cl,Company_Name_cl,Department,Expiry_date_cl,License_type_cl,Year,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl
,, 0.57 ,2015-07-22,0019/2015,Limestone,Myanmar Economic Holding Limited,,2020-01-23,First-come-first-serve,2016-17,,Mandalay,Kyaukse,Kyaukpakat,
,, 21.85 ,2013-10-15,19/1998,Gold,"Myanmar Goldern Point Family Co.,Ltd",,2018-10-14,First-come-first-serve,2016-17,,Mandalay,Ptheingyi,phayoung taung,
,, 0.59 ,2016-01-27,002/2016,Limestone,"Than Taw Myat Co.,Ltd",,2041-01-26,First-come-first-serve,2016-17,,Mandalay,Ptheingyi,Taungnima Taung,
,, 1.94 ,1999-08-01,17/1999,Granite,Myanmar Economic Holding Limited,,2019-07-31,First-come-first-serve,2016-17,,Mon,kyaikto,Tin War Taung,
,, 0.87 ,2010-10-29,0016 /2010,Limestone,"Myanmar  Might Industru Co.,Ltd",,2020-10-28,First-come-first-serve,2016-17,,Mon,Kyaimayaw,Needone Taung,
,, 1.44 ,2015-01-15,0009/2011,Granite,June Cement Industry Limited,,2036-01-31,First-come-first-serve,2016-17,,Mon,Kyaimayaw,Pyar Taung,
,, 1.30 ,2011-03-16,0032/2011,Limestone,"Pacific Link Cement  Production Co.,Ltd",,2036-03-15,First-come-first-serve,2016-17,,Mon,Kyaimayaw,Pyar Taung,
,, 0.85 ,1900-01-30,0040/2011,Limestone,"Famar Phoe Yarzar Mining Co.,Ltd",,2021-03-29,First-come-first-serve,2016-17,,Mon,Kyaimayaw,Arttayan Taung,
,, 2.37 ,2012-03-16,0001/2012,Marble,SumcoSong Da Joint Stock Company,,2032-03-15,First-come-first-serve,2016-17,,Rakhine,Taungkote,Naypu Taung,
,, 8.00 ,1999-10-12,20/1999,Zinc,Cornerstone Resources Myanmar Co.,,2019-10-11,First-come-first-serve,2016-17,,Shan,Minepon,Lonchain,
,, 2.20 ,2003-03-11,2/2003.,Marble,Eden Energy & Natural Resources Development,,2023-03-10,First-come-first-serve,2016-17,,Shan,Pinloung,Tekyie,
,, 7.11 ,2005-01-20,3/2005,Gypsum,No.(3) Heavy Industry. Ministry Of Industry,,2025-01-19,First-come-first-serve,2016-17,,Shan,Moukmal,Nanlouk,
,, 1.69 ,2010-07-01,12/2010.,Lead,"Top Ten Star Producton Co.,Ltd",,2020-06-30,First-come-first-serve,2016-17,,Shan,Kalaw,Baw Saing,
,, 8.82 ,2011-03-08,0029/2011,Coal,"Ngwe Yi Pale Mining Co.,Ltd",,2021-03-07,First-come-first-serve,2016-17,,Shan,Yat Sout,Baw Saing,
,, 2.60 ,2011-03-25,0033/2011,Limestone,"Kanbawza Industry Co.,Ltd",,2021-03-24,First-come-first-serve,2016-17,,Shan,Taunggyi,pinpat,
,, 25.00 ,2011-12-03,0002/2012,Gold,"Asia Kabar Myae Co.,Ltd",,2016-12-02,First-come-first-serve,2016-17,,Shan,Kalay,Shweminphone,
,, 0.61 ,2012-09-14,0012/2012,Barite,"San Pya Industry Co.,Ltd",,2022-09-13,First-come-first-serve,2016-17,,Shan,Yengan,dotehtoeyae,
,, 0.41 ,2013-01-01,0002/2013,Barite,"United Masterprise Co,.Ltd",,2023-12-31,First-come-first-serve,2016-17,,Shan,Kalaw,Baw Saing,
,, 2.00 ,2014-01-22,0001/2014,Lead,"GPS Jointventure 
Company",,2029-01-22,First-come-first-serve,2016-17,,Shan,Kalaw,Baw Saing,
,, 1.42 ,2014-02-28,0001/2014,Coal,Dragon Cement,,2024-02-27,First-come-first-serve,2016-17,,Shan,Nansan,Kaungyaline,
,, 0.25 ,2015-02-11,0004/2015,Limestone,"Tripal A Cement Internatinal Co.,Ltd",,2025-02-10,First-come-first-serve,2016-17,,Shan,Yengan,Kanyo Taung,
,, 1.01 ,2014-12-30,0014/2014,Gypsum,"Kanbawza Industry Co.,Ltd",,2024-12-30,First-come-first-serve,2016-17,,Shan,Moukmal,Nanlouk,
,, 1.00 ,2015-04-29,0009/2015,Coal,Lwal Chal Nagar Mining,,2025-04-28,First-come-first-serve,2016-17,,Shan,laechar,Narman,
,, 1.14 ,2015-06-03,0012/2015,Limestone,"Dragon Cement Co.,Ltd",,2019-08-23,First-come-first-serve,2016-17,,Shan,Pinloung,Mying Twin,
,, 1.21 ,2015-10-20,0027/2015,Coal,"Mandalay Distribution & Mining Co.,Ltd",,2025-10-19,First-come-first-serve,2016-17,,Shan,Nansan,Naunghee,
