,company_name,name_of_revenue_stream,paid_to,payment_category,units,per_company_original,per_company_adjust,per_company_final,per_government_original,per_government_adjust,per_government_final,final_difference,comment
57,Wai Aung Gabar Gems Co; Ltd. (*),Royalties on Sales,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,1167804131.74,-1167804131.74,0.0,0.0,
58,Wai Aung Gabar Gems Co; Ltd. (*),"Other significant payments (> 50,000 USD) IRD","Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59,Wai Aung Gabar Gems Co; Ltd. (*),Emporium Fees / Sale Fees,Central Committee (MONREC),payments in cash,MMK,169580952.419956,56051432.0,225632384.419956,232303411.96,0.0,232303411.96,-6671027.54004401,Tax not reported by the extractive company
60,Wai Aung Gabar Gems Co; Ltd. (*),Contribution to the State/region social development fund,States/Regions,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61,Wai Aung Gabar Gems Co; Ltd. (*),Mandatory Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
62,Wai Aung Gabar Gems Co; Ltd. (*),Voluntary Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
63,Ayar Jade Co; Ltd.,Production Split (Government and SOEs share),"Ministry of Natural Resources and Environmental Conservation (MONREC)
Department of Mines
MGE",payments in kind,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64,Ayar Jade Co; Ltd.,Royalties on production - 20% collected by/paid to  MGE,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,183568160.0,0.0,183568160.0,0.0,180176160.0,180176160.0,3392000.0,Not material difference < 5 Million Kyats
65,Ayar Jade Co; Ltd.,Royalties on production- 20% collected by/paid to  DOM,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,180176160.0,-180176160.0,0.0,0.0,
66,Ayar Jade Co; Ltd.,Sale Split - 40%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,4793668931.62,0.0,4793668931.62,4872882568.62,0.0,4872882568.62,-79213637.0,Tax not reported by the extractive company
67,Ayar Jade Co; Ltd.,Royalties on Sales- 7%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,1487413341.8600001,0.0,1487413341.8600001,1487413341.8600001,0.0,1487413341.8600001,0.0,
68,Ayar Jade Co; Ltd.,"Service  Fees - 3%, 1%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,196815718.8,440646948.76000005,637462667.5600001,637462667.5600001,0.0,637462667.5600001,0.0,
69,Ayar Jade Co; Ltd.,Permit fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
70,Ayar Jade Co; Ltd.,"Incentive fees 1%, 2%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,198251260.24,0.0,198251260.24,191238908.48080003,0.0,191238908.48080003,7012351.759199977,Tax not reported by the Govt Body
71,Ayar Jade Co; Ltd.,"Commercial Tax - 15%, 5% collected by (paid to) MGE","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,3415845648.7200003,0.0,3415845648.7200003,3472028901.3,0.0,3472028901.3,-56183252.57999992,Tax not reported by the extractive company
72,Ayar Jade Co; Ltd.,Land rental fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73,Ayar Jade Co; Ltd.,Environmental / Plantation fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
74,Ayar Jade Co; Ltd.,"Other significant payments (> 50,000 USD)","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,637462667.5600001,-440646948.76000005,196815718.8,186681511.46,0.0,186681511.46,10134207.340000004,Tax not reported by the Govt Body
75,Ayar Jade Co; Ltd.,Corporate Income Tax (CIT),"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,260956292.0,0.0,260956292.0,-260956292.0,Tax not reported by the extractive company
76,Ayar Jade Co; Ltd.,Commercial Tax,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,3490269064.0,-3490269064.0,0.0,0.0,
77,Ayar Jade Co; Ltd.,Custom Duties,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,5033352.0,0.0,5033352.0,-5033352.0,Tax not reported by the extractive company
78,Ayar Jade Co; Ltd.,Royalties on Sales,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
79,Ayar Jade Co; Ltd.,"Other significant payments (> 50,000 USD) IRD","Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80,Ayar Jade Co; Ltd.,Emporium Fees / Sale Fees,Central Committee (MONREC),payments in cash,MMK,0.0,0.0,0.0,212900922.26000002,0.0,212900922.26000002,-212900922.26000002,Tax not reported by the extractive company
